LST_ListingID,LST_LNG_LanguageID,LST_VLO_VendorLocationID,LST_VIT_VendorItemID,LST_SER_ServiceID,LST_ParentListingID,LST_ITT_ItemTypeID,LST_ListingName,LST_UrlTitle,LST_ListingDesc,LST_CustomMessage,LST_RefundPolicy,LST_CancellationPolicy,LST_ListingAccess,LST_StartDateTime,LST_EndDateTime,LST_ViewCount,LST_ClickCount,LST_Priority,LST_Order,LST_IsDefault,LST_ShuttleServiceAvailable,LST_CanSubscribe,LST_isExternalListing,LST_VersionNo,LST_Status,LST_CreatedUserID,LST_CreatedDateTime,LST_LastModifiedUserID,LST_LastModifiedDateTime,Legacy_ID,LST_ExternalId,LST_IsCustomRedemptionSteps,LST_IsSeoListing,LST_InventoryOwner,LST_IsExclusiveInventory,LST_DisplayName
6313549,1,388190,4533219,48,NULL,2350,"Mister Car Wash - Grand Ledge","Mister Car Wash - Grand Ledge","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Grand Ledge is located at 940 Saginaw Highway in Grand Ledge, Michigan. You will find us close by the intersection of W Saginaw Highway and S Clinton Street between the Valvoline Instant Oil Change and Wendys. 

At this location of Mister Car Wash in Grand Ledge, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-19 10:01:29",44613,"2020-11-19 10:01:29",NULL,NULL,No,No,WAY,NULL,NULL
6313550,1,388191,4533220,48,NULL,2350,"Mister Car Wash - Pickard","Mister Car Wash - Pickard","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Pickard is located at 5190 E Pickard Road, nearby Burger King and Art Van Furniture. 

At this location of Mister Car Wash Pickard, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-19 10:10:04",44613,"2020-11-19 10:10:04",NULL,NULL,No,No,WAY,NULL,NULL
6313551,1,388192,4533221,48,NULL,2350,"Mister Car Wash - Craig Hill","Mister Car Wash - Craig Hill","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Craig Hill is located at 430 South Mission Street in Mt Pleasant just south of Ace of Diamonds.

At this location of Mister Car Wash Craig Hill, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-19 10:16:12",44613,"2020-11-19 10:16:12",NULL,NULL,No,No,WAY,NULL,NULL
6313552,1,388193,4533222,48,NULL,2350,"Mister Car Wash - Greenville","Mister Car Wash - Greenville","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Greenville is located at 725 N Lafayette St. Greenville. You will find us near N Lafayette Street and N Coffren Avenue next to the Pizza Hut. 
At this location of Mister Car Wash - Greenville, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-19 10:25:21",44613,"2020-11-19 10:25:21",NULL,NULL,No,No,WAY,NULL,NULL
6313553,1,388194,4533223,48,NULL,2350,"Mister Car Wash - Cascade","Mister Car Wash - Cascade","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Cascade is located at 6771 Old 28th St SE Grand Rapids, Michigan. You will find us near Cascade Road SE and Old 28th Street SE next to the CITGO gas station.

At this location of Mister Car Wash - Cascade, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-19 10:32:57",44613,"2020-11-19 10:32:57",NULL,NULL,No,No,WAY,NULL,NULL
6313554,1,388195,4533224,48,NULL,2350,"Mister Car Wash - Centerpointe","Mister Car Wash - Centerpointe","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Centerpointe is located 3797 28th Street SE near the intersection of 28th Street SE and Lake Eastbrook Blvd SE. You’ll find us close to Belle Tire and U-Haul.

At this location of Mister Car Wash - Centerpointe, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-19 10:42:04",44613,"2020-11-19 10:42:04",NULL,NULL,No,No,WAY,NULL,NULL
6313555,1,388196,4533225,48,NULL,2350,"Mister Car Wash - Woodland","Mister Car Wash - Woodland","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Woodland is located 2730 28th SE in Grand Rapids, Michigan, near the intersection of 28th St. SE and Radcliff Ave.

At this location of Mister Car Wash - Woodland , you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-19 12:10:31",44613,"2020-11-19 12:10:31",NULL,NULL,No,No,WAY,NULL,NULL
6313556,1,388197,4533226,48,NULL,2350,"Mister Car Wash - Beltline","Mister Car Wash - Beltline","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Beltline is located located at 2205 E. Beltline Ave NE, next to the Subway and Wells Fargo.
You’ll be able to see our location at the intersection of Beltline Ave NE and Celebration Drive NE.

At this location of Mister Car Wash - Beltline , you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-19 12:15:35",44613,"2020-11-19 12:15:35",NULL,NULL,No,No,WAY,NULL,NULL
6313557,1,388198,4533227,48,NULL,2350,"Mister Car Wash - Kalamazoo","Mister Car Wash - Kalamazoo","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Kalamazoo is located at 6700 Kalamazoo in Grand Rapids, Michigan, near the intersection of Kalamazoo Ave SE and 68th St. SE.

At this location of Mister Car Wash - Kalamazoo , you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-19 12:29:14",44613,"2020-11-19 12:29:14",NULL,NULL,No,No,WAY,NULL,NULL
6313558,1,388199,4533228,48,NULL,2350,"Mister Car Wash - 10 Mile","Mister Car Wash - 10 Mile","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - 10 Mile is located at 2775 10 Mile Road in Rockford, Michigan. We are located in-between Pizza Hut and Meijer Express Gas Station.

At this location of Mister Car Wash - 10 Mile , you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-19 12:36:43",44613,"2020-11-19 12:36:43",NULL,NULL,No,No,WAY,NULL,NULL
